Sr No,Date dd/mm/yyyy,StartupName,Industry Vertical,SubVertical,CityLocation,CityCode,InvestorsName,InvestmentnType,AmountUSD,Remarks
43,4/9/2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,37,Bennett Coleman and Company Ltd (BCCL),Series C,450000000,
44,3/9/2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,38,"India Quotient, Axilor Ventures",Series A,5000000,
45,1/8/2019,CarDekho,E-Commerce,Automotive,Gurgaon,39,SC GG India Mobility Holdings LLC,Series C,20000000,nan
46,1/8/2019,Progcap,Finance,Supply Chain Management,New Delhi,40,Sequoia India,Series A,5000000,nan
47,1/8/2019,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,41,,Seed Funding Round,1600000,nan
48,1/8/2019,Alteria Capital,Finance,VC Funds,Mumbai,42,"Azim Premji, Binny Bansal",Single Venture,140000000,nan
49,1/8/2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,43,Pine Labs Pte Ltd,Corporate Round,38080000,nan
50,12/8/2019,Meesho,E-Commerce,Social Commerce,Bengaluru,44,Naspers,Series D,125000000,nan
51,13/08/2019,Cars24,E-Commerce,Car Retail,Gurugram,45,MS Dhoni,Series D,11000000,nan
52,13/08/2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,46,March Capital Partners,Series C,51000000,nan
53,23/08/2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,47,XL Innovate,Series B,37000000,nan
54,23/08/2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,48,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000,nan
55,23/08/2019,Tala,FinTech,Digital Lending Platform,Santa Monica,49,RPS Ventures,Series D,110000000,nan
56,22/08/2019,INDwealth,FinTech,Wealth Management,Gurgaon,50,Tiger Global Management,Venture Round,15000000,nan
57,21/08/2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,51,One97 Communications Ltd.,Series C,6590000,nan
58,23/08/2019,AdmitKard,EdTech,University Admissions,Noida,52,Growth DNA,Seed Round,1000000,nan
59,19/08/2019,Mishry Reviews,Services,Product Review,Gurgaon,53,Vir Sanghvi,Series A,1,nan
60,19/08/2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,53,Softbank Vision Fund,Series F,70000000,nan
61,27/08/2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,54,Westbridge Capital,Series B,3900000000,nan
62,2/7/2019,RenewBuy,Finance,Auto Insurance,Gurgaon,55,"Lok Capital, IIFL Wealth",Series B,19000000,nan
63,2/7/2019,Atlan,Information Technology,Big Data,Singapore,56,WaterBridge Ventures,Pre-Series A,2500000,nan
64,1/7/2019,WizCounsel,Compliance,Consulting,New Delhi,57,Kapil Dev,Angel,145000,nan
65,3/7/2019,Ola Cabs,Transport,Cabs,Kormangala,58,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000,nan
66,1/7/2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,59,March Capital Partners,Series C,38080000,nan
67,4/7/2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,60,Artha Venture,Seed Round,500000,nan
68,10/7/2019,"""BYJU\\'S""",EdTech,Education,Bengaluru,61,Qatar Investment Authority,Private Equity Round,150000000,nan
69,11/7/2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,62,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000,nan
70,10/7/2019,Ezyhaul,Tech,Logistics,Singapore,62,Undisclosed,Series B,16000000,nan
71,10/7/2019,Indus OS,Tech,Smartphone Operating System,Andheri,63,Ventureast,Series B,5750000,nan
72,10/7/2019,HealthAssure,Health Care,Primary care medical network,Mumbai,64,Blume Ventures,Series A,2500000,nan
73,9/7/2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,64,Binny Bansal,Series A,1000000,nan
74,8/7/2019,Board Infinity,EdTech,Full-stack career platform,Chembur,65,Multiple Angel Investors,Angel Round,319605,nan
75,5/6/2019,NoBroker,E-Commerce,Real Estate,Bengaluru,66,General Atlantic,Series C,51000000,nan
76,4/6/2019,Bira91,Food and Beverage,Brewery,New Delhi,67,Anicut Capital,Debt Funding,10000000,nan
77,3/6/2019,FabHotels,E-Commerce,Hospitality,Gurgaon,68,"Goldman Sachs, Accel Partners and Qualcomm",,4889975.54,nan
78,3/6/2019,Avail Finance,Finance,FinTech,Bengaluru,69,Matrix Partners,Series A,9000000,nan
79,4/6/2019,BharatPe,Finance,FinTech,New Delhi,70,Insight Partners,Series B,75000000,nan
80,4/6/2019,Recykal,Waste Management Service,Optimization,Hyderabad,71,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000,nan
81,3/6/2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,72,Blume Ventures and RTP Global,pre-Series A,2500000,nan
82,6/6/2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,73,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,2739034.68,nan
83,6/6/2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,74,IAN Fund,Series A,26000000,nan
84,6/6/2019,Pratilipi,Digital Media,E-Books,Bengaluru,75,Qiming Venture Partners,Series B,15109500,nan
85,10/6/2019,Bolo App,Digital Media,Video Platform,Bengaluru,75,Nexus Venture Partners,Seed Funding,430200,nan
86,10/6/2019,OkCredit,FinTech,Financial Services,Haryana,76,Tiger Global Management,Series A,15500000,nan
87,6/6/2019,Biz2Credit,FinTech,Online Lending Platform,New York,77,WestBridge Capital,Series B,52000000,nan
88,8/6/2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,78,Alteria Capital,Debt Funding,3584000,nan
89,4/6/2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,79,Mumbai Angels,Series A,3400000,nan
90,6/5/2019,Ola Electric,Transport,Cabs,Bengaluru,80,Tata Sons,Series A,1,nan
91,6/5/2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,80,C4D Partners,Venture - Series Unknown,868600,nan
92,5/5/2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,81,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,1,nan
93,1/5/2019,BlackBuck,Transport,Logistics,Bengaluru,82,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000,nan
94,2/5/2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,83,Tiger Global Management,Series C,50000000,nan
95,28/05/2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,84,Sachin Bansal,Series C,51000000,nan
96,28/05/2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,85,Equanimity Ventures,Seed Round,140000000,nan
97,30/05/2019,GlowRoad,E-commerce,Retail,Bengaluru,86,"Korea Investment Partners, Vertex Ventures",Series B,11500000,nan
98,31/05/2019,Bira91,Food and Beverage,Brewery,New Delhi,87,Sixth Sense Ventures,Series B,5600000,nan
99,16/04/2019,Kuvera,Finance,Wealth Management,Bengaluru,88,Eight Roads,Series A,45000000,nan
100,12/4/2019,Medlife,E-commerce,Online Medicine,Bengaluru,88,Prasid Uno Family Trust,Private Equity,17000000,nan
101,10/4/2019,Kabadiwala,E-commerce,Waste Management,Bhopal,89,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665,nan
102,13/04/2019,Tripoto,Social Media,Travel,New Delhi,90,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375,nan
103,12/4/2019,Azah,Health and Wellness,Organic wellness,Gurugram,91,Unnamed angel investors,Seed Funding,200000,nan
104,11/4/2019,Setu,Fintech,Banking,Bengaluru,92,Lightspeed India Partners,Seed Funding,3500000,nan
105,10/4/2019,Toppr,Edtech,E-learning,Mumbai,93,Milestone,Debt and Preference capital,6320820,nan
106,10/4/2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,93,Supera Pte Ltd,Inhouse Funding,2443495,nan
107,10/4/2019,Unacademy,Edtech,E-learning,Bengaluru,94,Kalyan Krishnamurthy,Seed/ Angel Funding,307000,nan
108,11/4/2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,95,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000,nan
109,19/04/2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,96,Sixth Sense Ventures,Series A,3000000,nan
110,19/04/2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,97,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000,nan
111,17/04/2019,Shuttl,Transportation,Bus Aggregation,Gurugram,98,New Atlantic Ventures,Venture Round,5000000,nan
112,17/04/2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,99,"021 Capita, Binny Bansal",Series A,3000000,nan
113,1/2/2019,FleetX,AI,Logistics,Gurgaon,100,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,1,nan
114,8/2/2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,101,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000,nan
115,13/02/2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,102,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000,nan
116,14/02/2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,103,DiDi Chuxing,Equity,100000000,nan
117,3/1/2019,CarDekho,Automobile,Online Marketplace,Jaipur,104,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000,nan
118,4/1/2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,105,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000,nan
119,4/1/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,106,"MASSIF, a Dutch government fund",Debt-Funding,5000000,nan
120,4/12/2018,Manch,Social Media,Hyperlocal Content,Delhi,107,Stellaris Venture Partners,Seed Funding,700000,nan
121,1/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,108,Steadview Capital and Vy Capital.,Series D,50000000,nan
122,2/12/2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,109,Individual Investors,Pre-Series A,800000,nan
123,2/12/2018,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,110,Individual Investors,Pre-Series A,572000,nan
124,4/12/2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,111,Omphalos Ventures India LLP,Seed Funding,143000,nan
125,6/12/2018,ShopKirana,B2B,eCommerce,Indore,112,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000,nan
126,6/12/2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,113,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000,nan
127,1/11/2018,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,114,Lead Angels Network,Seed/ Angel Funding,138995,nan
128,3/11/2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,115,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000,nan
129,6/11/2018,Meesho,Ecommerce,Social Commerce,Bengaluru,116,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000,nan
130,8/11/2018,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,116,Undisclosed,Series A,500000,nan
131,8/11/2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,117,"RB Investments, Singapore",Equity,1000000,nan
132,12/11/2018,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",118,Tiger Global,Series A,1000000,nan
133,12/11/2018,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,119,Mayfield Fund,Series B,1300000,nan
134,13/11/2018,DriveU,Transport,On-Demand Drivers,Bengaluru,120,Stevens Creek Ventures,Mezzanine,1000000,nan
135,14/11/2018,CleanseCar,Services,Car Wash,Bengaluru,120,Venture Catalysts,Seed/ Angel Funding,500000,nan
136,19/11/2018,Automation Anywhere,Automation,Robotics,California,121,SoftBank Vision Fund,Series B,300000000,nan
137,20/11/2018,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,122,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000,nan
138,21/11/2018,Genius Corner,Education,Personalized Learning,Noida,123,Individual investors,Seed Funding,278000,nan
139,22/11/2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,124,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000,nan
140,22/11/2018,Skillbox,Social Network,Art,Gurugram,125,Individual investors,Seed Funding,1,nan
141,23/11/2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,126,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000,nan
142,24/11/2018,Engineer.ai,Software,AI Platform,India/US,127,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000,nan
143,25/11/2018,InCred Finance,Finance,SME Lending,India,128,"Paragon Partners, Individual Investors",Private Equity,42000000,nan
144,25/11/2018,Roposo,Social Media,Video Sharing,Delhi,129,Bertelsmann India Investments,Series B,1700000,nan
145,1/10/2018,Northmist,Fashion,Mens Wear,Delhi,129,Prashant Jaiswal,Seed/ Angel Funding,0,nan
146,2/10/2018,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,130,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000,nan
147,4/10/2018,Grover Zampa,Food,Wine,Mumbai,131,Ravi Viswanathan,Private Equity,8200000,nan
148,5/10/2018,Droom,Automobile,New and Used Cars Platform,Gurgaon,132,ZigExN,Series E,3000000,nan
149,11/10/2018,Innov8,Real Estate,Co-Working,New Delhi,133,Credence Family Office,Pre-Series A,4000000,nan
150,12/10/2018,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,134,Sequoia Capital India,Private Funding,14680000,nan
151,12/10/2018,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,134,Fosun International,Series C,12000000,nan
152,1/9/2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,135,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000,nan
153,3/9/2018,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,136,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000,nan
154,3/9/2018,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,136,Falcon Edge,Private Equity,6390000,nan
155,4/9/2018,3HCare,Healthcare,Healthcare Service Provider,Delhi,137,N/A,Seed / Angel Funding,1000000,nan
156,4/9/2018,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,138,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0,nan
157,5/9/2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,139,Lighthouse,Private Equity,157200000,nan
158,5/9/2018,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,140,KDDI\\xc2\\xa0,Private Equity,0,nan
159,6/9/2018,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,141,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000,nan
160,10/9/2018,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,142,Stellaris Ventures & Others,Private Equity,4000000,nan
161,11/9/2018,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,143,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000,nan
162,11/9/2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,144,InnoVen Capital,Debt Funding,5500000,nan
163,11/9/2018,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,144,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000,nan
164,12/9/2018,Kissht,Fin-Tech,Online lending Platform,Mumbai,144,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000,nan
165,1/8/2018,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,145,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000,nan
166,1/8/2018,HealthFin,Finance,Patient Financing Platform,Pune,146,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0,nan
167,2/8/2018,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,147,Xiaomi and Sequoia Capital India,Private Equity,7000000,nan
168,3/8/2018,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,148,Y Combinator,Private Equity,120000,nan
169,7/8/2018,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,149,N/A,Seed/ Angel Funding,1000000,nan
170,7/8/2018,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,150,Fung Strategic Holdings,Private Equity,35000000,nan
171,7/8/2018,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,151,MakeMyTrip Limited,Private Equity,10000000,nan
172,8/8/2018,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,152,Vertex Ventures,Seed/ Angel Funding,4000000,nan
173,8/8/2018,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,152,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000,nan
174,8/8/2018,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,152,Flipkart,Private Equity,66000000,nan
175,9/8/2018,quizizz,Ed-Tech,e-learning Platform,Bengaluru,152,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000,nan
176,9/8/2018,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,152,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000,nan
177,13/08/2018,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,153,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000,nan
178,13/08/2018,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,154,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000,nan
179,16/08/2018,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,155,N/A,Seed/ Angel Funding,114811,nan
180,17/08/2018,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,156,Denlow Investment Trust and Beenext,Private Equity,5850000,nan
181,20/08/2018,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,157,N/A,Seed / Angel Funding,1000000,nan
182,20/08/2018,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,158,Alteria Capital,Debt Funding,4800000,nan
183,22/08/2018,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,159,CDC Group plc\\xc2\\xa0,Private Equity,6000000,nan
184,22/08/2018,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,160,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000,nan
185,26/08/2018,ZestMoney,Consumer Internet,Online Lending Platform,Bengaluru,161,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000,nan
186,26/08/2018,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,161,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000,nan
187,27/08/2018,MyUpchar,Healthcare,Local Language Health Content App,Delhi,162,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000,nan
188,28/08/2018,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,163,Accel (formerly known as Accel Partners),Private Equity,3000000,nan
189,30/08/2018,True North,Finance,Private Equity Firm,Mumbai,164,N/A,Private Equity,600000000,nan
190,1/7/2018,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,165,Y Combinator,Seed/ Angel Funding,0,nan
191,2/7/2018,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,165,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000,nan
192,4/7/2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,166,MDI Ventures & Telkom Indonesia,Private Equity,4000000,nan
193,05/072018,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,167,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6250000,nan
194,6/7/2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,168,Info Edge (India) Ltd and Temasek,Private Equity,27700000,nan
195,9/7/2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,169,Info Edge (India) Ltd,Seed/ Angel Funding,440000,nan
